MM/DD/YY        HH:MM   RH-PER  DIR-DEG WIND-KTS
10/22/16        18:52   50.58   190     6
10/23/16        00:52   57.14   250     4
10/23/16        06:52   78.91   0       0
10/23/16        12:52   85.67   130     3
10/23/16        18:52   48.6    240     17
10/24/16        00:52   74.27   10      11
10/24/16        06:52   73.39   320     6
10/24/16        12:52   73.39   320     7
10/24/16        18:52   52.11   60      5
10/25/16        00:52   67.45   0       0
10/25/16        06:52   82.6    0       0
10/25/16        12:52   79.21   300     3
10/25/16        18:52   64.03   50      6
10/26/16        00:52   71.19   150     3
10/26/16        06:52   66.04   140     9
10/26/16        12:52   86.02   130     17
10/26/16        18:52   89.08   130     17
10/27/16        00:52   92.81   120     15
10/27/16        06:52   89.65   30      10
10/27/16        12:52   76.16   320     7
10/27/16        18:52   65.67   320     8
10/28/16        00:52   68.28   0       0
10/28/16        06:52   82.31   240     4
10/28/16        12:52   85.25   180     5
10/28/16        18:52   69.17   190     11
10/29/16        00:52   80.34   200     17
10/29/16        06:52   78.08   230     16
10/29/16        12:52   83.66   260     9
10/29/16        18:52   77.83   40      11
10/30/16        00:52   83.08   30      6
10/30/16        06:52   83      10      7
10/30/16        12:52   85.67   20      10
10/30/16        18:52   71.19   20      8
10/31/16        00:52   73.18   40      5
10/31/16        06:52   85.55   0       0
10/31/16        12:52   89.34   0       0
10/31/16        18:52   68.5    170     11
11/01/16        00:52   77.15   160     11
11/01/16        06:52   83.41   190     10
11/01/16        12:52   83.6    220     10
11/01/16        18:52   53.37   260     5
11/02/16        00:52   75.12   0       0
11/02/16        06:52   74.75   0       0
11/02/16        12:52   86.52   10      9
11/02/16        18:52   83.33   30      10
11/03/16        00:52   89.88   10      9
11/03/16        06:52   92.8    300     3
11/03/16        12:52   96.63   260     3
11/03/16        18:52   61.91   310     4
11/04/16        00:52   86.17   30      7
11/04/16        06:52   76.76   40      6
11/04/16        12:52   88.71   0       0
11/04/16        18:52   51.35   280     9
11/05/16        00:52   66.13   210     4
11/05/16        06:52   74.35   250     6
11/05/16        12:52   76.86   270     6
11/05/16        18:52   50.62   220     4
11/06/16        00:52   76.83   0       0
11/06/16        06:52   83.42   0       0
11/06/16        12:52   89.92   0       0
11/06/16        18:52   50.56   230     9
11/07/16        00:52   74.72   0       0
11/07/16        06:52   82.58   0       0
11/07/16        12:52   85.77   0       0
11/07/16        18:52   38.32   220     10
11/08/16        00:52   71.5    200     5
11/08/16        06:52   69.09   220     8
11/08/16        12:52   74.72   260     6
11/08/16        18:52   58.76   340     13
11/09/16        00:52   56.45   350     11
11/09/16        06:52   68.05   340     8
11/09/16        12:52   73.25   310     7
11/09/16        18:52   35.87   280     6
11/10/16        00:52   45.93   240     4
11/10/16        06:52   57.5    240     6
11/10/16        12:52   57.87   230     13
11/10/16        18:52   35.26   240     18
11/11/16        00:52   40.77   270     13
11/11/16        06:52   56.17   320     6
11/11/16        12:52   65.62   20      14
11/11/16        18:52   51.89   10      17
11/12/16        00:52   62.06   20      10
11/12/16        06:52   69.51   290     3
11/12/16        12:52   72.43   250     6
11/12/16        18:52   45.73   230     13
11/13/16        00:52   60.11   220     13
11/13/16        06:52   64.24   260     10
11/13/16        12:52   61.94   250     13
11/13/16        18:52   34.41   220     17
11/14/16        00:52   49.63   210     8
11/14/16        06:52   58.47   230     9
11/14/16        12:52   75.94   220     4
11/14/16        18:52   52.7    210     9
11/15/16        00:52   70.95   0       0
11/15/16        06:52   79.36   310     4
11/15/16        12:52   89.29   330     3
11/15/16        18:52   73.89   250     5
11/16/16        00:52   86.33   180     6
11/16/16        06:52   82.12   270     3
11/16/16        12:52   88.67   310     5
11/16/16        18:52   76.86   130     4
11/17/16        00:52   89.92   150     5
11/17/16        06:52   86.06   160     7
11/17/16        12:52   74.35   180     8
11/17/16        18:52   47.06   190     10
11/18/16        00:52   60.9    180     7
11/18/16        06:52   55.51   210     10
11/18/16        12:52   64.47   200     7
11/18/16        18:52   63.1    190     15
11/19/16        00:52   53.5    240     22
11/19/16        06:52   56.86   270     19
11/19/16        12:52   66.72   300     16
11/19/16        18:52   49.61   310     25
11/20/16        00:52   48.98   310     15
11/20/16        06:52   52.68   320     11
11/20/16        12:52   62.5    340     6
11/20/16        18:52   45.22   340     9
11/21/16        06:52   60.25   310     6
11/21/16        12:52   65.58   330     5
11/22/16        00:52   66.34   0       0
11/22/16        06:52   65.69   310     3
11/22/16        12:52   71.25   300     3
11/22/16        18:52   67.17   150     9
11/23/16        00:52   67.03   100     13
11/23/16        06:52   72.78   170     6
11/23/16        12:52   82.04   150     14
11/23/16        18:52   92.62   160     7
11/24/16        00:52   92.62   210     4
11/24/16        06:52   81.98   300     7
11/24/16        12:52   82.08   270     11
11/24/16        18:52   70.3    280     7
11/25/16        00:52   75.75   270     7
11/25/16        06:52   81.93   290     7
11/25/16        12:52   72.43   260     4
11/25/16        18:52   76.44   260     8
11/26/16        00:52   73.14   300     6
11/26/16        06:52   78.6    270     5
11/26/16        12:52   78.6    220     3
11/26/16        18:52   63.33   210     10
11/27/16        00:52   75.94   180     4
11/27/16        06:52   88.78   190     4
11/27/16        12:52   92.29   190     4
11/27/16        18:52   85.54   180     6
11/28/16        00:52   82.12   150     14
11/28/16        06:52   82.04   160     9
11/28/16        12:52   85.06   170     14
11/28/16        18:52   86.21   160     12
11/29/16        00:52   92.77   150     18
11/29/16        06:52   85.48   230     14
11/29/16        12:52   72.99   200     13
11/29/16        18:52   54.21   220     13
11/30/16        00:52   76.12   170     3
11/30/16        06:52   85.81   230     3
11/30/16        12:52   85.11   230     7
11/30/16        18:52   69.96   240     10
12/01/16        00:52   79.08   220     11
12/01/16        06:52   78.37   240     11
12/01/16        12:52   82.08   260     9
12/01/16        18:52   67.82   270     10
12/02/16        00:52   79.25   270     8
12/02/16        06:52   79.08   260     6
12/02/16        12:52   66.31   320     8
12/02/16        18:52   56.57   330     10
12/03/16        00:52   60.99   300     8
12/03/16        06:52   63.06   300     6
12/03/16        12:52   63.06   250     7
12/03/16        18:52   60.83   230     8
12/04/16        00:52   57.93   330     3
12/04/16        06:52   68.91   220     4
12/04/16        12:52   71.82   0       0
12/04/16        18:52   88.27   160     4
12/05/16        00:52   88.27   240     5
12/05/16        06:52   85.11   260     9
12/05/16        12:52   85.11   240     7
12/05/16        18:52   88.27   190     9
12/06/16        00:52   88.27   180     7
12/06/16        06:52   85.64   180     6
12/06/16        12:52   79.17   120     5
12/06/16        18:52   75.75   250     7
12/07/16        00:52   60.92   260     14
12/07/16        06:52   65.84   260     9
12/07/16        12:52   67.96   260     14
12/07/16        18:52   57.93   270     13
12/08/16        00:52   62.23   270     12
12/08/16        06:52   61.83   270     8
12/08/16        12:52   62.07   270     14
12/08/16        18:52   59.55   280     21
12/09/16        00:52   65.58   270     12
12/09/16        06:52   68.09   300     9
12/09/16        12:52   71.18   300     10
12/09/16        18:52   46.08   310     13
12/10/16        00:52   54.44   250     5
12/10/16        06:52   70.95   260     7
12/10/16        12:52   76.97   250     5
12/10/16        18:52   54.36   250     7
12/11/16        00:52   81.46   220     6
12/11/16        06:52   87.7    170     6
12/11/16        12:52   82      170     10
12/11/16        18:52   89.12   0       0
12/12/16        00:52   92.15   0       0
12/12/16        06:52   82      300     13
12/12/16        12:52   71.3    280     10
12/12/16        18:52   68.09   270     8
12/13/16        00:52   73.41   230     11
12/13/16        06:52   76.82   220     6
12/13/16        12:52   63.96   310     10
12/13/16        18:52   37.76   300     10
12/14/16        00:52   60.07   240     8
12/14/16        06:52   62.25   240     10
12/14/16        12:52   53      250     9
12/14/16        18:52   37.21   280     21
12/15/16        00:52   45.07   280     14
12/15/16        06:52   51.83   280     14
12/15/16        12:52   58.84   280     10
12/15/16        18:52   49.72   290     12
12/16/16        00:52   59.91   250     7
12/16/16        06:52   54.74   260     4
12/16/16        12:52   76.62   200     4
12/16/16        18:52   47.22   190     5
12/17/16        00:52   84.62   210     4
12/17/16        06:52   84.68   270     4
12/17/16        12:52   76.97   290     6
12/17/16        18:52   77.48   300     10
12/18/16        00:52   84.68   340     15
12/18/16        06:52   76.92   330     15
12/18/16        12:52   72.18   300     13
12/18/16        18:52   51.83   310     11
12/19/16        00:52   55.56   250     6
12/19/16        06:52   63.92   230     6
12/19/16        12:52   67.86   210     8
12/19/16        18:52   45.42   220     21
12/20/16        00:52   57.88   220     17
12/20/16        06:52   53.4    220     19
12/20/16        12:52   59.6    220     25
12/20/16        18:52   53.38   240     21
12/21/16        00:52   63.19   250     13
12/21/16        06:52   71.45   260     6
12/21/16        12:52   71.25   250     3
12/21/16        18:52   63.72   220     15
12/22/16        00:52   63.06   240     13
12/22/16        06:52   72.04   290     6
12/22/16        12:52   63.86   310     12
12/22/16        18:52   54.77   260     8
12/23/16        00:52   63.31   260     8
12/23/16        06:52   77.57   240     6
12/23/16        12:52   71.48   220     9
12/23/16        18:52   66.97   240     5
12/24/16        00:52   88.27   150     8
12/24/16        06:52   88.27   250     5
12/24/16        12:52   88.27   0       0
12/24/16        18:52   78.37   0       0
12/25/16        00:52   78.6    0       0
12/25/16        06:52   78.6    110     5
12/25/16        12:52   96.49   120     10
12/25/16        18:52   84.49   120     14
12/26/16        00:52   89.09   120     17
12/26/16        06:52   95.78   150     14
12/26/16        12:52   92.62   200     9
12/26/16        18:52   65.51   220     19
12/27/16        00:52   55.82   260     24
12/27/16        06:52   58.49   260     20
12/27/16        12:52   65.58   260     11
12/27/16        18:52   68.45   260     11
12/28/16        00:52   68.2    270     4
12/28/16        06:52   80.52   0       0
12/28/16        12:52   80.59   170     6
12/28/16        18:52   44.98   210     12
12/29/16        00:52   67.2    250     11
12/29/16        06:52   66.31   270     10
12/29/16        12:52   69.04   260     11
12/29/16        18:52   63.06   280     12
12/30/16        00:52   53.4    290     13
12/30/16        06:52   58.23   300     12
12/30/16        12:52   59.71   270     11
12/30/16        18:52   48.48   240     9
12/31/16        00:52   53.53   170     11
12/31/16        06:52   51.99   220     14
12/31/16        12:52   60.99   240     8
12/31/16        18:52   49.66   290     13
